"자치구별(1)","자치구별(2)",고등학교별(1),고등학교별(2),2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
"자치구별(1)","자치구별(2)",고등학교별(1),고등학교별(2),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명)
"합계","중랑구",고등학교(합계),자율고,768,494,64.3,36,238,721,521,72.3,20,180,694,496,71.5,-,198,616,477,77.4,-,139,619,399,64.5,15,205,614,431,70.2,42,141,598,383,64.0,56,159,584,376,64.4,46,162,632,357,56.5,51,224,493,307,62.3,46,140
"합계","성북구",고등학교(합계),소계,4859,2722,56.0,253,1884,4566,2468,54.1,473,1625,4648,2496,53.7,554,1598,4089,2211,54.1,514,1364,3973,2133,53.7,440,1400,4165,2370,56.9,443,1352,3639,2082,57.2,354,1203,3590,2056,57.3,318,1216,3553,2049,57.7,290,1214,3064,1911,62.4,351,802
"합계","성북구",고등학교(합계),일반고,2342,1448,61.8,9,885,2223,1360,61.2,-,863,2802,1775,63.3,101,926,2400,1597,66.5,14,789,2357,1519,64.4,5,833,2725,1856,68.1,20,849,2496,1627,65.2,6,863,2466,1595,64.7,22,849,2589,1630,63.0,13,946,2195,1534,69.9,57,604
"합계","성북구",고등학교(합계),특수목적고,432,257,59.5,-,175,425,218,51.3,-,207,428,265,61.9,-,163,402,207,51.5,-,195,376,222,59.0,-,154,577,256,44.4,129,192,540,282,52.2,81,177,487,245,50.3,74,168,379,186,49.1,116,77,382,204,53.4,110,68
"합계","성북구",고등학교(합계),특성화고,891,362,40.6,220,309,951,353,37.1,449,149,947,255,26.9,445,247,915,206,22.5,484,225,857,173,20.2,417,267,620,108,17.4,292,220,401,52,13.0,259,90,394,54,13.7,219,121,380,63,16.6,157,160,303,35,11.6,179,89
"합계","성북구",고등학교(합계),자율고,1194,655,54.9,24,515,967,537,55.5,24,406,471,201,42.7,8,262,372,201,54.0,16,155,383,219,57.2,18,146,243,150,61.7,2,91,202,121,59.9,8,73,243,162,66.7,3,78,205,170,82.9,4,31,184,138,75.0,5,41
"합계","강북구",고등학교(합계),소계,2244,1328,59.2,50,866,2418,1475,61.0,87,856,2326,1341,57.7,148,837,2480,1473,59.4,125,882,2488,1536,61.7,115,837,2424,1426,58.8,123,875,2165,1258,58.1,92,815,2162,1270,58.7,87,805,2200,1265,57.5,103,832,1926,1181,61.3,83,662
"합계","강북구",고등학교(합계),일반고,1561,970,62.1,-,591,1487,977,65.7,21,489,1506,916,60.8,45,545,1703,1056,62.0,1,646,1736,1153,66.4,1,582,1682,1070,63.6,3,609,1449,929,64.1,1,519,1383,906,65.5,-,477,1436,861,60.0,9,566,1204,802,66.6,2,400
"합계","강북구",고등학교(합계),특성화고,188,110,58.5,35,43,194,111,57.2,43,40,196,95,48.5,72,29,198,77,38.9,93,28,185,64,34.6,99,22,187,56,29.9,105,26,187,52,27.8,91,44,200,71,35.5,87,42,192,73,38.0,82,37,181,45,24.9,73,63
"합계","강북구",고등학교(합계),자율고,495,248,50.1,15,232,737,387,52.5,23,327,624,330,52.9,31,263,579,340,58.7,31,208,567,319,56.3,15,233,555,300,54.1,15,240,529,277,52.4,-,252,579,293,50.6,-,286,572,331,57.9,12,229,541,334,61.7,8,199
"합계","도봉구",고등학교(합계),소계,3888,2140,55.0,114,1634,3771,2108,55.9,201,1462,3551,1982,55.8,303,1266,3454,2006,58.1,329,1119,3254,1810,55.6,453,991,3178,1731,54.5,465,982,2847,1511,53.1,345,991,2722,1527,56.1,285,910,2725,1513,55.5,140,1072,2520,1479,58.7,127,914
"합계","도봉구",고등학교(합계),일반고,2115,1166,55.1,42,907,2084,1133,54.4,42,909,1969,1121,56.9,160,688,2098,1305,62.2,147,646,2138,1279,59.8,204,655,2083,1266,60.8,191,626,1782,1037,58.2,56,689,1603,1051,65.6,45,507,1717,950,55.3,11,756,1500,966,64.4,38,496
"합계","도봉구",고등학교(합계),특수목적고,364,187,51.4,-,177,357,159,44.5,-,198,342,181,52.9,-,161,336,171,50.9,-,165,310,190,61.3,-,120,285,173,60.7,-,112,267,188,70.4,-,79,272,175,64.3,-,97,225,141,62.7,-,84,209,122,58.4,-,87
"합계","도봉구",고등학교(합계),특성화고,628,320,51.0,72,236,534,273,51.1,159,102,517,207,40.0,143,167,508,199,39.2,182,127,455,119,26.2,249,87,446,76,17.0,274,96,462,91,19.7,289,82,470,86,18.3,240,144,399,156,39.1,129,114,399,136,34.1,89,174
"합계","도봉구",고등학교(합계),자율고,781,467,59.8,-,314,796,543,68.2,-,253,723,473,65.4,-,250,512,331,64.6,-,181,351,222,63.2,-,129,364,216,59.3,-,148,336,195,58.0,-,141,377,215,57.0,-,162,384,266,69.3,-,118,412,255,61.9,-,157
"합계","노원구",고등학교(합계),소계,11034,6094,55.2,637,4303,10625,5890,55.4,1217,3518,10487,5667,54.0,1212,3608,10588,5944,56.1,1287,3357,10064,5469,54.3,1286,3309,9928,5383,54.2,1225,3320,9415,4984,52.9,1263,3168,8907,4906,55.1,972,3029,8976,5085,56.7,679,3212,7567,4482,59.2,611,2474
"합계","노원구",고등학교(합계),일반고,7916,4302,54.3,93,3521,7624,4446,58.3,111,3067,7705,4541,58.9,89,3075,7798,4939,63.3,56,2803,7440,4664,62.7,122,2654,7325,4528,61.8,165,2632,6858,4220,61.5,114,2524,6553,4159,63.5,122,2272,6637,4162,62.7,70,2405,5321,3506,65.9,116,1699
"합계","노원구",고등학교(합계),특성화고,2754,1596,58.0,544,614,2633,1209,45.9,1106,318,2507,949,37.9,1123,435,2528,840,33.2,1231,457,2355,640,27.2,1164,551,2338,681,29.1,1060,597,2297,591,25.7,1149,557,2106,573,27.2,848,685,2077,755,36.4,609,713,2018,821,40.7,495,702
"합계","노원구",고등학교(합계),자율고,364,196,53.8,-,168,368,235,63.9,-,133,275,177,64.4,-,98,262,165,63.0,-,97,269,165,61.3,-,104,265,174,65.7,-,91,260,173,66.5,-,87,248,174,70.2,2,72,262,168,64.1,-,94,228,155,68.0,-,73
"합계","은평구",고등학교(합계),소계,5538,3450,62.3,329,1759,5705,3098,54.3,556,2051,5796,3218,55.5,630,1948,5702,3238,56.8,716,1748,5800,3409,58.8,777,1614,5515,3204,58.1,813,1498,5310,2940,55.4,881,1489,5163,2850,55.2,892,1421,5193,2974,57.3,740,1479,4525,2654,58.7,509,1362
"합계","은평구",고등학교(합계),일반고,3526,2256,64.0,98,1172,3834,2192,57.2,141,1501,3802,2322,61.1,58,1422,3877,2435,62.8,108,1334,3969,2635,66.4,169,1165,3667,2423,66.1,147,1097,3488,2283,65.5,151,1054,3339,2172,65.0,184,983,3746,2402,64.1,165,1179,3107,2095,67.4,67,945
"합계","은평구",고등학교(합계),특성화고,1416,876,61.9,231,309,1326,620,46.8,415,291,1224,440,35.9,572,212,1197,352,29.4,608,237,1197,375,31.3,608,214,1245,371,29.8,666,208,1287,308,23.9,729,250,1273,339,26.6,708,226,1240,414,33.4,575,251,1214,408,33.6,442,364
"합계","은평구",고등학교(합계),자율고,596,318,53.4,-,278,545,286,52.5,-,259,770,456,59.2,-,314,628,451,71.8,-,177,634,399,62.9,-,235,603,410,68.0,-,193,535,349,65.2,1,185,551,339,61.5,-,212,207,158,76.3,-,49,204,151,74.0,-,53
"합계","서대문구",고등학교(합계),소계,2786,1549,55.6,45,1192,2554,1488,58.3,105,961,2221,1338,60.2,8,875,2191,1376,62.8,8,807,2258,1411,62.5,21,826,2318,1345,58.0,32,941,2129,1364,64.1,41,724,2102,1300,61.8,65,737,2142,1282,59.9,67,793,1969,1292,65.6,74,603
"합계","서대문구",고등학교(합계),일반고,1981,1049,53.0,45,887,1783,1005,56.4,105,673,1684,1004,59.6,8,672,1631,1011,62.0,8,612,1736,1072,61.8,21,643,1842,1051,57.1,32,759,1613,1059,65.7,28,526,1539,942,61.2,24,573,1608,957,59.5,37,614,1432,944,65.9,20,468
"합계","서대문구",고등학교(합계),특수목적고,160,160,100.0,-,-,153,151,98.7,-,2,139,138,99.3,-,1,147,139,94.6,-,8,138,137,99.3,-,1,69,68,98.6,-,1,135,121,89.6,-,14,146,118,80.8,-,28,139,109,78.4,-,30,138,115,83.3,-,23
"합계","서대문구",고등학교(합계),자율고,645,340,52.7,-,305,618,332,53.7,-,286,398,196,49.2,-,202,413,226,54.7,-,187,384,202,52.6,-,182,407,226,55.5,-,181,381,184,48.3,13,184,417,240,57.6,41,136,395,216,54.7,30,149,399,233,58.4,54,112
"합계","마포구",고등학교(합계),소계,2872,1656,57.7,81,1135,2625,1508,57.4,243,874,2642,1462,55.3,304,876,2533,1335,52.7,320,878,2422,1326,54.7,296,800,2352,1311,55.7,300,741,2195,1210,55.1,273,712,2276,1263,55.5,242,771,2392,1278,53.4,174,940,2139,1223,57.2,162,754
"합계","마포구",고등학교(합계),일반고,1593,908,57.0,2,683,981,577,58.8,-,404,973,562,57.8,2,409,957,587,61.3,-,370,979,605,61.8,-,374,955,667,69.8,5,283,871,564,64.8,5,302,848,547,64.5,10,291,941,593,63.0,1,347,760,523,68.8,-,237
"합계","마포구",고등학교(합계),특성화고,561,385,68.6,57,119,565,259,45.8,226,80,580,220,37.9,277,83,558,171,30.6,290,97,526,125,23.8,296,105,530,91,17.2,295,144,518,122,23.6,268,128,499,137,27.5,231,131,519,141,27.2,172,206,496,176,35.5,155,165
"합계","마포구",고등학교(합계),자율고,718,363,50.6,22,333,1079,672,62.3,17,390,1089,680,62.4,25,384,1018,577,56.7,30,411,917,596,65.0,-,321,867,553,63.8,-,314,806,524,65.0,-,282,929,579,62.3,1,349,932,544,58.4,1,387,883,524,59.3,7,352
"합계","양천구",고등학교(합계),소계,6532,3512,53.8,198,2822,6375,3461,54.3,278,2636,6406,3488,54.4,167,2751,6160,3618,58.7,197,2345,5885,3341,56.8,143,2401,5773,3157,54.7,161,2455,5752,3001,52.2,203,2548,5656,2969,52.5,220,2467,5444,2939,54.0,181,2324,4614,2748,59.6,93,1773
"합계","양천구",고등학교(합계),일반고,5198,2839,54.6,90,2269,5011,2831,56.5,109,2071,5077,2892,57.0,74,2111,5039,3084,61.2,57,1898,4796,2812,58.6,21,1963,4676,2632,56.3,14,2030,4470,2466,55.2,23,1981,4391,2465,56.1,65,1861,4229,2388,56.5,107,1734,3475,2128,61.2,23,1324
"합계","양천구",고등학교(합계),특성화고,420,261,62.1,108,51,440,233,53.0,169,38,372,152,40.9,93,127,386,141,36.5,140,105,377,148,39.3,122,107,400,124,31.0,147,129,600,202,33.7,180,218,577,209,36.2,155,213,531,252,47.5,74,205,459,234,51.0,69,156
"합계","양천구",고등학교(합계),자율고,914,412,45.1,-,502,924,397,43.0,-,527,957,444,46.4,-,513,735,393,53.5,-,342,712,381,53.5,-,331,697,401,57.5,-,296,682,333,48.8,-,349,688,295,42.9,-,393,684,299,43.7,-,385,680,386,56.8,1,293
"합계","강서구",고등학교(합계),소계,8584,5020,58.5,507,3057,8107,4587,56.6,772,2748,8000,4562,57.0,837,2601,7774,4355,56.0,877,2542,7479,4184,55.9,741,2554,7140,3964,55.5,739,2437,6746,3580,53.1,833,2333,6428,3584,55.8,668,2176,6264,3418,54.6,590,2256,5725,3391,59.2,462,1872
"합계","강서구",고등학교(합계),일반고,5613,3226,57.5,82,2305,5443,3255,59.8,117,2071,5493,3449,62.8,160,1884,5361,3311,61.8,155,1895,5157,3159,61.3,104,1894,4886,3040,62.2,82,1764,4685,2746,58.6,83,1856,4422,2741,62.0,52,1629,4338,2537,58.5,123,1678,3890,2539,65.3,91,1260
"합계","강서구",고등학교(합계),특수목적고,684,438,64.0,-,246,672,424,63.1,-,248,666,438,65.8,-,228,633,416,65.7,-,217,605,396,65.5,-,209,558,353,63.3,-,205,494,329,66.6,-,165,492,346,70.3,-,146,456,314,68.9,-,142,446,297,66.6,-,149
